id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
wfjB9Blnk8kC,50 Psychology Classics,"Who We Are, How We Think, What We Do: Insight and Inspiration from 50 Key Books",Tom Butler-Bowdon,Hachette UK,2010-12-07,"Explore the key wisdom and figures of psychology's development over 50 books, hundreds of ideas, and a century of time.",Psychology,313,4,9,en,1857884736,9781857884739,http://books.google.com/books?id=wfjB9Blnk8kC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
flsaEQAAQBAJ,The Psychology Book,"From Shamanism to Cutting-Edge Neuroscience, 250 Milestones in the History of Psychology",Wade E. Pickren,Union Square & Company,2014-05-20,"What could be more fascinating than the workings of the human mind? This stunningly illustrated survey in Sterlings Milestones series chronicles the history of psychology through 250 landmark events, theories, publications, experiments, and discoveries. Beginning with ancient philosophies of well-being, it touches on such controversial topics as phrenology, sexual taboos, electroshock therapy, multiple personality disorder, and the nature of evil.",Psychology,1151,,0,en,1402792352,9781402792359,https://play.google.com/store/books/details?id=flsaEQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=flsaEQAAQBAJ&rdid=book-flsaEQAAQBAJ&rdot=1&source=gbs_api,14.99,USD,,True,Psychology
qZKbBgAAQBAJ,The Psychology Book,Big Ideas Simply Explained,Dk,Penguin,2015-02-02,"Learn about human nature, behavior and how the mind works with The Psychology Book. Part of the fascinating Big Ideas series, this book tackles tricky topics and themes in a simple and easy to follow format. Learn about Psychology in this overview guide to the subject, great for beginners looking to learn and experts wishing to refresh their knowledge alike! The Psychology Book brings a fresh and vibrant take on the topic through eye-catching graphics and diagrams to immerse yourself in. This ca",Psychology,723,5,2,en,1465439293,9781465439291,http://books.google.com/books?id=qZKbBgAAQBAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
3mJ4p9wYfR8C,Exploring Psychology,,David G. Myers,Macmillan,2004-04-02,"David Myers's bestselling brief text has opened millions of students' eyes to the world of psychology. Through vivid writing and integrated use of the SQ3R learning system (Survey, Question, Read, Rehearse, Review), Myers offers a portrait of psychology that captivates students while guiding them to a deep and lasting understanding of the complexities of this field.",Psychology,772,5,1,en,0716715449,9780716715443,http://books.google.com/books?id=3mJ4p9wYfR8C&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
wjNZDwAAQBAJ,How Psychology Works,The Facts Visually Explained,Dk,Penguin,2018-06-07,"How far would you go to obey orders? Why do many people - even some scientists - believe in miracles? Find out the answers to these questions and much more in this visual guide to applied psychology. Lying at the intersection of biology, philosophy, and medicine, psychology is at the heart of what makes us human. Perfect both for students and people new to the topic, How Psychology Works has a unique graphic approach and uses direct, jargon-free language. It explores various approaches that psyc",Psychology,258,,0,en,0241360420,9780241360422,http://books.google.com/books?id=wjNZDwAAQBAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
Tw2bEAAAQBAJ,Introduction To Psychology,,"Jennifer Walinga, Charles Stangor",Hasanraza Ansari,,"This book is designed to help students organize their thinking about psychology at a conceptual level. The focus on behaviour and empiricism has produced a text that is better organized, has fewer chapters, and is somewhat shorter than many of the leading books. The beginning of each section includes learning objectives; throughout the body of each section are key terms in bold followed by their definitions in italics; key takeaways, and exercises and critical thinking activities end each sectio","Body, Mind & Spirit",810,,0,en,,,https://play.google.com/store/books/details?id=Tw2bEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=Tw2bEAAAQBAJ&rdid=book-Tw2bEAAAQBAJ&rdot=1&source=gbs_api,1.99,USD,,True,Psychology
XG9rDQAAQBAJ,The Handy Psychology Answer Book,,Lisa J. Cohen,Visible Ink Press,2016-02-22,"Bridges the gap between today's entertainment-focused “pop psychology” on television and the dry academic research that is published in journals. A primer on human behavior and psychology. The Handy Psychology Answer Book helps answer why humans do what we do through accurate scientific data presented in a lively, accessible, and engaging way. It covers the fundamentals and explains the psychology behind how people deal with money, sex, morality, family, children, aging, addiction, work, and oth",Psychology,558,,0,en,1578595983,9781578595983,https://play.google.com/store/books/details?id=XG9rDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=XG9rDQAAQBAJ&rdid=book-XG9rDQAAQBAJ&rdot=1&source=gbs_api,19.99,USD,,True,Psychology
ImbiEAAAQBAJ,The Psychology Of Money,"Timeless lessons on wealth, greed, and happiness",Morgan Housel,Pan Macmillan UK,2023-11-14,"Doing well with money isn't necessarily about what you know. It's about how you behave. And behavior is hard to teach, even to really smart people. Money - investing, personal finance, and business decisions - is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don't make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ",Business & Economics,209,,0,en,1761561197,9781761561191,http://books.google.com/books?id=ImbiEAAAQBAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
UriYBuiH_FkC,Encyclopedia Of Applied Psychology,,Charles Spielberger,Academic Press,2004-09-02,"Encompasses topics including aging (geropsychology), assessment, clinical, cognitive, community, counseling, educational, environmental, family, industrial/organizational, health, school, sports, and transportation psychology. Each entry provides a clear definition, a brief review of the theoretical basis, and emphasizes major areas of application.",Business & Economics,962,5,1,en,0126574103,9780126574104,http://books.google.com/books?id=UriYBuiH_FkC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
PaKR6k3mKRAC,The Gift Of Adult Add,How to Transform Your Challenges and Build on Your Strengths,"Lara Honos-Webb Ph. D., Lara Honos-Webb",ReadHowYouWant.com,2010,Disorders and syndromes.,"Body, Mind & Spirit",362,,0,en,1458764818,9781458764812,http://books.google.com/books?id=PaKR6k3mKRAC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
