id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
H5w5EAAAQBAJ,The Practice Of History In India,Essays in Search of a New Past,Anirudh Deshpande,Routledge,2021-10-14,"In the last few decades, professional historians have raised important questions regarding the theories, methods and practices of history extant since the earliest times. Oral and Visual History have assumed a new importance in our times. This book presents seven essays on history as it can be practised productively in India. It is pedagogically important to students and teachers of history in India. Meant primarily for undergraduate, graduate and postgraduate students, it will also be appreciat",History,163,,0,en,1000483169,9781000483161,https://play.google.com/store/books/details?id=H5w5EAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=H5w5EAAAQBAJ&rdid=book-H5w5EAAAQBAJ&rdot=1&source=gbs_api,43.11,USD,,True,History
qyE5AQAAMAAJ,Outlines Of Physiological Psychology,A Treatise of the Activities and Nature of the Mind from the Physical and Experimental Point of View,George Trumbull Ladd,,1908,,Psychophysiology,532,,0,en,,,https://play.google.com/store/books/details?id=qyE5AQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=qyE5AQAAMAAJ&rdid=book-qyE5AQAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
Jv4FBu71TdsC,The Psychology Of Christian Life And Behaviour,,William Straton Bruce,,1923,,"Psychology, Religious",352,,0,en,,,https://play.google.com/store/books/details?id=Jv4FBu71TdsC&source=gbs_api,https://play.google.com/store/books/details?id=Jv4FBu71TdsC&rdid=book-Jv4FBu71TdsC&rdot=1&source=gbs_api,,,,True,Psychology
cKdVAAAAYAAJ,"Journal Of Philosophy, Psychology And Scientific Methods",,,,1922,,Philosophy,462,,0,en,,,https://play.google.com/store/books/details?id=cKdVAAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=cKdVAAAAYAAJ&rdid=book-cKdVAAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
Le-WDLt_Kj8C,Studies In Abnormal Psychology,,,,1911,,"Psychology, Pathological",382,,0,en,,,https://play.google.com/store/books/details?id=Le-WDLt_Kj8C&source=gbs_api,https://play.google.com/store/books/details?id=Le-WDLt_Kj8C&rdid=book-Le-WDLt_Kj8C&rdot=1&source=gbs_api,,,,True,Psychology
G4kZAAAAMAAJ,History Of Psychology,A Sketch and an Interpretation,James Mark Baldwin,,1913,,Psychology,268,,0,en,,,https://play.google.com/store/books/details?id=G4kZAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=G4kZAAAAMAAJ&rdid=book-G4kZAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
fju1qwT2W4MC,"The Human Intellect, With An Introduction Upon Psychology And The Soul",,Noah Porter (The Younger.),,1872,,,706,,0,en,,,https://play.google.com/store/books/details?id=fju1qwT2W4MC&source=gbs_api,https://play.google.com/store/books/details?id=fju1qwT2W4MC&rdid=book-fju1qwT2W4MC&rdot=1&source=gbs_api,,,,True,Psychology
bb07AQAAMAAJ,Princeton Contributions To Psychology ...,,,,1909,,Psychology,156,,0,en,,,https://play.google.com/store/books/details?id=bb07AQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=bb07AQAAMAAJ&rdid=book-bb07AQAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
1g0CAAAAYAAJ,Bibliographies On Educational Psychology,,William Henry Burnham,,1913,,Educational psychology,54,,0,en,,,https://play.google.com/store/books/details?id=1g0CAAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=1g0CAAAAYAAJ&rdid=book-1g0CAAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
qqaBzgEACAAJ,The Cambridge Handbook Of Political Psychology,,"Danny Osborne, Chris G. Sibley",Cambridge University Press,2022-02-28,"The Cambridge Handbook of Political Psychology provides a comprehensive review of the psychology of political behaviour from an international perspective. Its coverage spans from foundational approaches to political psychology, including the evolutionary, personality and developmental roots of political attitudes, to contemporary challenges to governance, including populism, hate speech, conspiracy beliefs, inequality, climate change and cyberterrorism. Each chapter features cutting-edge researc",Psychology,800,,0,en,1108747418,9781108747417,http://books.google.com/books?id=qqaBzgEACAAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
p2Y9AAAAYAAJ,Contributions To Psychology,,Princeton University,,1903,Reprinted from scientific journals.,Psychology,180,,0,en,,,https://play.google.com/store/books/details?id=p2Y9AAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=p2Y9AAAAYAAJ&rdid=book-p2Y9AAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
27D3CKQtyfgC,Experiments In Psychology,,William Silliman Foster,,1923,,Psychology,336,,0,en,,,https://play.google.com/store/books/details?id=27D3CKQtyfgC&source=gbs_api,https://play.google.com/store/books/details?id=27D3CKQtyfgC&rdid=book-27D3CKQtyfgC&rdot=1&source=gbs_api,,,,True,Psychology
tzQFAQAAIAAJ,Elements Of Psychology,,Noah Knowles Davis,,1892,,Psychology,374,,0,en,,,https://play.google.com/store/books/details?id=tzQFAQAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=tzQFAQAAIAAJ&rdid=book-tzQFAQAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
W_5UgFxDZ1oC,An Introduction To Social Psychology,,William Mcdougall,,1919,,Social psychology,524,,0,en,,,https://play.google.com/store/books/details?id=W_5UgFxDZ1oC&source=gbs_api,https://play.google.com/store/books/details?id=W_5UgFxDZ1oC&rdid=book-W_5UgFxDZ1oC&rdot=1&source=gbs_api,,,,True,Psychology
BtM3AQAAMAAJ,An Outline Of Psychology,,Edward Bradford Titchener,,1908,,Psychology,406,,0,en,,,https://play.google.com/store/books/details?id=BtM3AQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=BtM3AQAAMAAJ&rdid=book-BtM3AQAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
1i9VAAAAMAAJ,The Psychology Of Reasoning,,Eugenio Rignano,,1923,,Reasoning,414,,0,en,,,https://play.google.com/store/books/details?id=1i9VAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=1i9VAAAAMAAJ&rdid=book-1i9VAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
hcAZAAAAMAAJ,Lectures On The Experimental Psychology Of The Thought-Processes,,Edward Bradford Titchener,,1909,,"Psychology, Experimental",344,,0,en,,,https://play.google.com/store/books/details?id=hcAZAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=hcAZAAAAMAAJ&rdid=book-hcAZAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
0VIpAAAAYAAJ,Constructive Psychology,"Or, The Building of Character by Personal Effort",Jirah Dewey Buck,,1908,,Character,220,,0,en,,,https://play.google.com/store/books/details?id=0VIpAAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=0VIpAAAAYAAJ&rdid=book-0VIpAAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
LYtTqOYkoxUC,Applied Psychology...,A Series of Twelve Volumes on the Applications of Psychology to the Problems of Personal and Business Efficiency,Warren Hilton,,1927,,"Psychology, Applied",128,,0,en,,,https://play.google.com/store/books/details?id=LYtTqOYkoxUC&source=gbs_api,https://play.google.com/store/books/details?id=LYtTqOYkoxUC&rdid=book-LYtTqOYkoxUC&rdot=1&source=gbs_api,,,,True,Psychology
aOMuAQAAIAAJ,History Of The Problems Of Philosophy: Introduction. Pt. I. Psychology,,"Paul Janet, Gabriel Séailles",,1902,,Philosophy,432,,0,en,,,https://play.google.com/store/books/details?id=aOMuAQAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=aOMuAQAAIAAJ&rdid=book-aOMuAQAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
-YtWAAAAYAAJ,Philosophy And Psychology Pamphlets,,,,1927,,,636,,0,en,,,https://play.google.com/store/books/details?id=-YtWAAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=-YtWAAAAYAAJ&rdid=book--YtWAAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
v-tAQLGvZi4C,The Psychology Of Society,,Morris Ginsberg,,1924,,Social psychology,202,,0,en,,,https://play.google.com/store/books/details?id=v-tAQLGvZi4C&source=gbs_api,https://play.google.com/store/books/details?id=v-tAQLGvZi4C&rdid=book-v-tAQLGvZi4C&rdot=1&source=gbs_api,,,,True,Psychology
uaKO0AEACAAJ,Practical Female Psychology,For the Practical Man,"Joseph W. South, David Clare",,2019,"""Practical Female Psychology for the Practical M",Domestic relations,0,,0,en,,9798424707391,http://books.google.com/books?id=uaKO0AEACAAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
9hFVAAAAMAAJ,Experimental Psychology And Child Study,,,,1922,,Child psychology,136,,0,en,,,https://play.google.com/store/books/details?id=9hFVAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=9hFVAAAAMAAJ&rdid=book-9hFVAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
OCNC8uQzJO8C,"Mysticism, Freudianism And Scientific Psychology",,Knight Dunlap,,1920,,,184,,0,en,,,https://play.google.com/store/books/details?id=OCNC8uQzJO8C&source=gbs_api,https://play.google.com/store/books/details?id=OCNC8uQzJO8C&rdid=book-OCNC8uQzJO8C&rdot=1&source=gbs_api,,,,True,Psychology
xylf39MZ4y4C,Archives Of Psychology,,Robert Sessions Woodworth,,1916,,Psychology,112,,0,en,,,https://play.google.com/store/books/details?id=xylf39MZ4y4C&source=gbs_api,https://play.google.com/store/books/details?id=xylf39MZ4y4C&rdid=book-xylf39MZ4y4C&rdot=1&source=gbs_api,,,,True,Psychology
Ek8uAAAAYAAJ,Elementary Psychology,,Amos Markham Kellogg,,1894,,Psychology,76,,0,en,,,https://play.google.com/store/books/details?id=Ek8uAAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=Ek8uAAAAYAAJ&rdid=book-Ek8uAAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
b0FDAAAAIAAJ,Psychology: Personal And Essential,,Henry C. Sheppard,,1920,,California,154,,0,en,,,https://play.google.com/store/books/details?id=b0FDAAAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=b0FDAAAAIAAJ&rdid=book-b0FDAAAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
1F0ZAQAAIAAJ,Investigations Of The Department Of Psychology And Education Of The University Of Colorado,,University Of Colorado (Boulder Campus). Dept. Of Psychology And Education,,1904,,Education,232,,0,en,,,https://play.google.com/store/books/details?id=1F0ZAQAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=1F0ZAQAAIAAJ&rdid=book-1F0ZAQAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
o6Z26rBMKjsC,A Syllabus Of The Course In The Psychology Of The Elementary School Subjects,,Harold Ordway Rugg,,1926,,Educational psychology,86,,0,en,,,https://play.google.com/store/books/details?id=o6Z26rBMKjsC&source=gbs_api,https://play.google.com/store/books/details?id=o6Z26rBMKjsC&rdid=book-o6Z26rBMKjsC&rdot=1&source=gbs_api,,,,True,Psychology
EDWYUNn2sAgC,Industrial Psychology Monthly,The Magazine of Manpower,Donald Anderson Laird,,1928,,Personnel management,522,,0,en,,,https://play.google.com/store/books/details?id=EDWYUNn2sAgC&source=gbs_api,https://play.google.com/store/books/details?id=EDWYUNn2sAgC&rdid=book-EDWYUNn2sAgC&rdot=1&source=gbs_api,,,,True,Psychology
deOLTt-dD3gC,The Principles Of Psychology,,William James,,1890,,Psychology,720,,0,en,,,https://play.google.com/store/books/details?id=deOLTt-dD3gC&source=gbs_api,https://play.google.com/store/books/details?id=deOLTt-dD3gC&rdid=book-deOLTt-dD3gC&rdot=1&source=gbs_api,,,,True,Psychology
vEkAAAAAMAAJ,Psychology Applied To Education,A Series of Lectures on the Theory & Practice of Education,James Ward,,1926,,Educational psychology,212,,0,en,,,https://play.google.com/store/books/details?id=vEkAAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=vEkAAAAAMAAJ&rdid=book-vEkAAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
6AlCAAAAIAAJ,The Psychology Of Language,,"Walter Bowers Pillsbury, Clarence Linton Meader",,1928,,Language Arts & Disciplines,334,,0,en,,,https://play.google.com/store/books/details?id=6AlCAAAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=6AlCAAAAIAAJ&rdid=book-6AlCAAAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
4cw9AAAAYAAJ,Practical Psychology And Psychiatry,"For Use in Training-schools for Attendants and Nurses and in Medical Classes, and as Ready Reference for the Practitioner",Colonel Bell Burr,,1921,,Mental illness,290,,0,en,,,https://play.google.com/store/books/details?id=4cw9AAAAYAAJ&source=gbs_api,https://play.google.com/store/books/details?id=4cw9AAAAYAAJ&rdid=book-4cw9AAAAYAAJ&rdot=1&source=gbs_api,,,,True,Psychology
30Q-x4GKV6kC,Popular Science Library: Psychology,,,,1922,,,418,,0,en,,,https://play.google.com/store/books/details?id=30Q-x4GKV6kC&source=gbs_api,https://play.google.com/store/books/details?id=30Q-x4GKV6kC&rdid=book-30Q-x4GKV6kC&rdot=1&source=gbs_api,,,,True,Psychology
7F8wAQAAMAAJ,The Groundwork Of Psychology,,George Frederick Stout,,1920,,Psychology,268,,0,en,,,https://play.google.com/store/books/details?id=7F8wAQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=7F8wAQAAMAAJ&rdid=book-7F8wAQAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
lwMNAAAAIAAJ,Problems In Dynamic Psychology,A Critique of Psychoanalysis and Suggested Formulations,John Thompson Maccurdy,,1922,,Psychoanalysis,424,,0,en,,,https://play.google.com/store/books/details?id=lwMNAAAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=lwMNAAAAIAAJ&rdid=book-lwMNAAAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
NAARAQAAIAAJ,Comparative Psychology Monographs,,,,1929,,"Psychology, Comparative",454,,0,en,,,https://play.google.com/store/books/details?id=NAARAQAAIAAJ&source=gbs_api,https://play.google.com/store/books/details?id=NAARAQAAIAAJ&rdid=book-NAARAQAAIAAJ&rdot=1&source=gbs_api,,,,True,Psychology
QxNVAAAAMAAJ,The Elements Of Psychology,,Gabriel Compayré,,1890,,Educational psychology,330,,0,en,,,https://play.google.com/store/books/details?id=QxNVAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=QxNVAAAAMAAJ&rdid=book-QxNVAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
RGB9AAAAMAAJ,The Psychology Of Aggression,,Arnold H. Buss,,1961,,Aggressiveness,328,5,1,en,,,https://play.google.com/store/books/details?id=RGB9AAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=RGB9AAAAMAAJ&rdid=book-RGB9AAAAMAAJ&rdot=1&source=gbs_api,,,,True,Psychology
OTQTEAAAQBAJ,The Science Of Science,,"Dashun Wang, Albert-László Barabási",Cambridge University Press,2021-03-25,"This is the first comprehensive overview of the exciting field of the 'science of science'. With anecdotes and detailed, easy-to-follow explanations of the research, this book is accessible to all scientists, policy makers, and administrators with an interest in the wider scientific enterprise.",Computers,315,4,1,en,1108492665,9781108492669,http://books.google.com/books?id=OTQTEAAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
Z4eKBgAAQBAJ,The Science Book,Big Ideas Simply Explained,Dk,Penguin,2015-02-02,"Now in Paperback! Take science to a whole new level. Created in partnership with Prentice Hall, the Big Idea Science Book is a comprehensive guide to key topics in science falling into four major strands (Living Things, Earth Science, Chemistry, and Physics), with a unique difference — a website component with 200 specially created digital assets that provide the opportunity for hands-on, interactive learning.",Science,735,,0,en,1465439277,9781465439277,http://books.google.com/books?id=Z4eKBgAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
4qlCbEbOUQkC,The Oxford Book Of Modern Science Writing,,Richard Dawkins,"Oxford University Press, USA",2008,"Selected and introduced by Richard Dawkins, The Oxford Book of Modern Science Writing is a celebration of the finest writing by scientists for a wider audience - revealing that many of the best scientists have displayed as much imagination and skill with the pen as they have in the laboratory. This is a rich and vibrant collection that captures the poetry and excitement of communicating scientific understanding and scientific effort from 1900 to the present day. Professor Dawkins has included wr",Science,439,,0,en,0199216800,9780199216802,http://books.google.com/books?id=4qlCbEbOUQkC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
OKcjEQAAQBAJ,The Book Of Potentially Catastrophic Science,50 Experiments for Daring Young Scientists,Sean Connolly,Hachette+ORM,2016-12-27,"It’s never been more important to engage a child's scientific curiosity, and Sean Connolly knows just how to do it—with lively, hands-on, seemingly ""dangerous"" experiments that pop, ooze, crash, and teach! Now, the author of The Book of Totally Irresponsible Science, takes it one step further: He leads kids through the history of science, and then creates amazing yet simple experiments that demonstrate key scientific principles. Tame fire just like a Neanderthal with the Fahrenheit 451 experimen",Juvenile Nonfiction,367,,0,en,0761189866,9780761189862,https://play.google.com/store/books/details?id=OKcjEQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=OKcjEQAAQBAJ&rdid=book-OKcjEQAAQBAJ&rdot=1&source=gbs_api,9.99,USD,,True,Science
AQOCBgAAQBAJ,The End Of Science,Facing The Limits Of Knowledge In The Twilight Of The Scientific Age,John Horgan,Basic Books,2015-04-14,"As staff writer for Scientific American, John Horgan has a window on contemporary science unsurpassed in all the world. Who else routinely interviews the likes of Lynn Margulis, Roger Penrose, Francis Crick, Richard Dawkins, Freeman Dyson, Murray Gell-Mann, Stephen Jay Gould, Stephen Hawking, Thomas Kuhn, Chris Langton, Karl Popper, Stephen Weinberg, and E.O. Wilson, with the freedom to probe their innermost thoughts? In The End Of Science, Horgan displays his genius for getting these larger-tha",Science,368,,0,en,0465050859,9780465050857,https://play.google.com/store/books/details?id=AQOCBgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=AQOCBgAAQBAJ&rdid=book-AQOCBgAAQBAJ&rdot=1&source=gbs_api,11.99,USD,,True,Science
abqjP-_KfzkC,The Oxford Companion To The History Of Modern Science,,John L. Heilbron,Oxford University Press,2003-02-14,"Containing 609 encyclopedic articles written by more than 200 prominent scholars, The Oxford Companion to the History of Modern Science presents an unparalleled history of the field invaluable to anyone with an interest in the technology, ideas, discoveries, and learned institutions that have shaped our world over the past five centuries. Focusing on the period from the Renaissance to the early twenty-first century, the articles cover all disciplines (Biology, Alchemy, Behaviorism), historical p",Science,994,,0,en,0195112296,9780195112290,http://books.google.com/books?id=abqjP-_KfzkC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
SbwTzAEACAAJ,The Science Book,,"John Farndon, Ian Graham, Clint Twist",,2019-09,,,160,,0,en,178989025X,9781789890259,http://books.google.com/books?id=SbwTzAEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
u2qoNAEACAAJ,People'S Science,Bodies and Rights on the Stem Cell Frontier,Ruha Benjamin,Stanford University Press,2013-06-05,"Stem cell research has sparked controversy and heated debate since the first human stem cell line was derived in 1998. Too frequently these debates devolve to simple judgments—good or bad, life-saving medicine or bioethical nightmare, symbol of human ingenuity or our fall from grace—ignoring the people affected. With this book, Ruha Benjamin moves the terms of debate to focus on the shifting relationship between science and society, on the people who benefit—or don't—from regenerative medicine a",Social Science,0,,0,en,0804782970,9780804782975,http://books.google.com/books?id=u2qoNAEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
LyOzDwAAQBAJ,Science Be Dammed,How Ignoring Inconvenient Science Drained the Colorado River,"Eric Kuhn, John Fleck",University of Arizona Press,2019-11-26,"Science Be Dammed is an alarming reminder of the high stakes in the management—and perils in the mismanagement—of water in the western United States. It seems deceptively simple: even when clear evidence was available that the Colorado River could not sustain ambitious dreaming and planning by decision-makers throughout the twentieth century, river planners and political operatives irresponsibly made the least sustainable and most dangerous long-term decisions. Arguing that the science of the ea",Political Science,289,,0,en,0816540055,9780816540051,http://books.google.com/books?id=LyOzDwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
AIITEAAAQBAJ,The Science Of Citizen Science,,"Katrin Vohland, Anne Land-Zandstra, Luigi Ceccaroni, Rob Lemmens, Josep Perelló, Marisa Ponti, Roeland Samson, Katherin Wagenknecht",Springer Nature,2021-01-11,"This open access book discusses how the involvement of citizens into scientific endeavors is expected to contribute to solve the big challenges of our time, such as climate change and the loss of biodiversity, growing inequalities within and between societies, and the sustainability turn. The field of citizen science has been growing in recent decades. Many different stakeholders from scientists to citizens and from policy makers to environmental organisations have been involved in its practice.",Social Science,520,,0,en,3030582787,9783030582784,https://play.google.com/store/books/details?id=AIITEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=AIITEAAAQBAJ&rdid=book-AIITEAAAQBAJ&rdot=1&source=gbs_api,0,USD,,True,Science
li52vgAACAAJ,"Sharing Books, Talking Science",Exploring Scientific Concepts with Children's Literature,"Valerie Bang-Jensen, Mark Lubkowitz",Heinemann Educational Books,2017,"Science is everywhere, in everything we do, see, and read. Books-all books-offer possibilities for talk about science in the illustrations and text once you know how to look for them. Children's literature is a natural avenue to explore the seven crosscutting concepts described in the Next Generation Science Standards*, and with guidance from Valerie Bang-Jensen and Mark Lubkowitz, you will learn to develop the mindset necessary to think like a scientist, and then help your students think, talk,",Education,137,,0,en,0325087741,9780325087740,http://books.google.com/books?id=li52vgAACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
IJIqEAAAQBAJ,"What Is Science? A Guide For Those Who Love It, Hate It, Or Fear It",,Elof Axel Carlson,World Scientific,2021-03-24,"What is Science? A Guide for Those Who Love It, Hate It, or Fear It, provides the reader with ways science has been done through discovery, exploration, experimentation and other reason-based approaches. It discusses the basic and applied sciences, the reasons why some people hate science, especially its rejection of the supernatural, and others who fear it for human applications leading to environmental degradation, climate change, nuclear war, and other outcomes of sciences applied to society.",Science,263,,0,en,9811228736,9789811228735,https://play.google.com/store/books/details?id=IJIqEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=IJIqEAAAQBAJ&rdid=book-IJIqEAAAQBAJ&rdot=1&source=gbs_api,13.2,USD,,True,Science
ZJAtjgEACAAJ,The War On Science,"Who's Waging It, why it Matters, what We Can Do about it",Shawn Lawrence Otto,,2016,"""Wherever the people are well informed,"" Thomas Jefferson wrote, ""they can be trusted with their own government."" But what happens when they are not? In every issue of modern society--from climate change to vaccinations, transportation to technology, health care to defense--we are in the midst of an unprecedented expansion of scientific progress and a simultaneous expansion of danger. At the very time we need them most, scientists and the idea of objective knowledge are being bombarded by avast,",Political Science,514,,0,en,1571313532,9781571313539,http://books.google.com/books?id=ZJAtjgEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
n9BwDwAAQBAJ,Seeing Science,An Illustrated Guide to the Wonders of the Universe,Iris Gottlieb,Chronicle Books,2018-10-30,"From an illustrator for San Francisco’s Exploratorium, a visual journey that shows how beautiful science really is. With original illustrations that deftly explain the strange-but-true world of science, Seeing Science offers a curated ride through the great mysteries of the universe. Artist and lay scientist Iris Gottlieb explains among other things: neap tides, naked mole rats, whale falls, the human heart, the Uncertainty Principle, the ten dimensions of string theory, and how glaciers are lik",Science,154,,0,en,1452167192,9781452167190,https://play.google.com/store/books/details?id=n9BwDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=n9BwDwAAQBAJ&rdid=book-n9BwDwAAQBAJ&rdot=1&source=gbs_api,9.99,USD,,True,Science
AVQ2DwAAQBAJ,"Visible Learning For Science, Grades K-12",What Works Best to Optimize Student Learning,"John Almarode, Douglas Fisher, Nancy Frey, John Hattie",Corwin Press,2018-02-15,"In the best science classrooms, teachers see learning through the eyes of their students, and students view themselves as explorers. But with so many instructional approaches to choose from—inquiry, laboratory, project-based learning, discovery learning—which is most effective for student success? In Visible Learning for Science, the authors reveal that it’s not which strategy, but when, and plot a vital K-12 framework for choosing the right approach at the right time, depending on where student",Education,131,,0,en,1506394191,9781506394190,https://play.google.com/store/books/details?id=AVQ2DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=AVQ2DwAAQBAJ&rdid=book-AVQ2DwAAQBAJ&rdot=1&source=gbs_api,30.42,USD,,True,Science
TdoPAQAAMAAJ,The Mad Science Book,100 Amazing Experiments from the History of Science,Reto U. Schneider,Quercus Books,2008,"You don't have to be an eccentric obsessive to be a scientist, but it helps... In The Mad Science Book, Reto Schneider tells the extraordinary tales of 100 of the more unusual experiments conducted across seven centuries of science. From the attempts of the 14th-century Dominican monk Theodoric von Freiberg to discover the cause of the rainbow, to the efforts of the 20th-century psychologist Harry Harlow to be the perfect mother to a family of reluctant rhesus monkeys, these are stories that are",Science,296,,0,en,,,http://books.google.com/books?id=TdoPAQAAMAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
DluxDwAAQBAJ,Investing In Science,Social Cost-Benefit Analysis of Research Infrastructures,Massimo Florio,MIT Press,2019-10-15,"A proposal for using cost-benefit analysis to evaluate the socioeconomic impact of public investment in large scientific projects. Large particle accelerators, outer space probes, genomics platforms: all are scientific enterprises managed through the new form of the research infrastructure, in which communities of scientists collaborate across nations, universities, research institutions, and disciplines. Such large projects are often publicly funded, with no accepted way to measure the benefits",Science,385,,0,en,0262355973,9780262355971,https://play.google.com/store/books/details?id=DluxDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=DluxDwAAQBAJ&rdid=book-DluxDwAAQBAJ&rdot=1&source=gbs_api,36.99,USD,,True,Science
b8i2DwAAQBAJ,Biomaterials Science,An Introduction to Materials in Medicine,"William R Wagner, Shelly E. Sakiyama-Elbert, Guigen Zhang, Michael J. Yaszemski",Academic Press,2020-05-23,"The revised edition of the renowned and bestselling title is the most comprehensive single text on all aspects of biomaterials science from principles to applications. Biomaterials Science, fourth edition, provides a balanced, insightful approach to both the learning of the science and technology of biomaterials and acts as the key reference for practitioners who are involved in the applications of materials in medicine.This new edition incorporates key updates to reflect the latest relevant res",Technology & Engineering,1612,,0,en,0128161388,9780128161388,https://play.google.com/store/books/details?id=b8i2DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=b8i2DwAAQBAJ&rdid=book-b8i2DwAAQBAJ&rdot=1&source=gbs_api,140,USD,,True,Science
3Oo8NgAACAAJ,The Science Book,,Sara Bonnett Stein,Workman Publishing Company,1979,"Examines various principles and phenomena of biology, physics, and chemistry through discussion and observation of familiar surroundings--one's own body, home, pets, siblings, food, yard, etc.",Biology,285,5,1,en,0894801201,9780894801204,http://books.google.com/books?id=3Oo8NgAACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
9PMU1iYGe34C,Biomaterials Science,An Introduction to Materials in Medicine,"Buddy D. Ratner, Allan S. Hoffman, Frederick J. Schoen, Jack E. Lemons",Elsevier,2004-08-18,"The second edition of this bestselling title provides the most up-to-date comprehensive review of all aspects of biomaterials science by providing a balanced, insightful approach to learning biomaterials. This reference integrates a historical perspective of materials engineering principles with biological interactions of biomaterials. Also provided within are regulatory and ethical issues in addition to future directions of the field, and a state-of-the-art update of medical and biotechnologica",Technology & Engineering,879,4,1,en,008047036X,9780080470368,https://play.google.com/store/books/details?id=9PMU1iYGe34C&source=gbs_api,https://play.google.com/store/books/details?id=9PMU1iYGe34C&rdid=book-9PMU1iYGe34C&rdot=1&source=gbs_api,95.2,USD,,True,Science
